"id","sequence","name","auto_apply","vat_required","country_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_puerto_libre","5","Puerto Libre","False","False","base.ve","tax_iva16_sale","tax_exempt_sale"
"","","","","","","tax_iva8_sale","tax_exempt_sale"
"","","","","","","tax_iva31_sale","tax_exempt_sale"
"","","","","","","tax_iva16_purchase","tax_exempt_purchase"
"","","","","","","tax_iva8_purchase","tax_exempt_purchase"
"","","","","","","tax_iva31_purchase","tax_exempt_purchase"
"fiscal_position_exportacion","10","Exportación","False","False","","tax_iva16_sale","tax_export_sale"
"","","","","","","tax_iva8_sale","tax_export_sale"
"","","","","","","tax_iva31_sale","tax_export_sale"
"","","","","","","tax_exempt_sale","tax_export_sale"
