"id","name","name@es","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id"
"tax_iva16_sale","VAT 16% (Sales)","IVA 16% (Ventas)","IVA 16% (Ventas)","IVA 16%","16.0","percent","sale","tax_group_iva_16","base","invoice",""
"","","","","","","","","","tax","invoice","account_account_2103010"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_account_2103010"
"tax_iva8_sale","VAT 8% (Sales)","IVA 8% (Ventas)","IVA 8% (Ventas)","IVA 8%","8.0","percent","sale","tax_group_iva_8","base","invoice",""
"","","","","","","","","","tax","invoice","account_account_2103010"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_account_2103010"
"tax_iva31_sale","VAT 31% (Sales)","IVA 31% (Ventas)","IVA 31% (Ventas)","IVA 31%","31.0","percent","sale","tax_group_iva_31","base","invoice",""
"","","","","","","","","","tax","invoice","account_account_2103010"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_account_2103010"
"tax_export_sale","VAT 0% Export (Sales)","IVA 0% Exportación (Ventas)","IVA 0% Exportación (Ventas)","IVA 0%","0.0","percent","sale","tax_group_iva_0","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_exempt_sale","Exempt (Sales)","Exento (Ventas)","Exento (Ventas)","Exento","0.0","percent","sale","tax_group_exempt","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
"tax_iva16_purchase","VAT 16% (Purchases)","IVA 16% (Compras)","IVA 16% (Compras)","IVA 16%","16.0","percent","purchase","tax_group_iva_16","base","invoice",""
"","","","","","","","","","tax","invoice","account_account_1103010"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_account_1103010"
"tax_iva8_purchase","VAT 8% (Purchases)","IVA 8% (Compras)","IVA 8% (Compras)","IVA 8%","8.0","percent","purchase","tax_group_iva_8","base","invoice",""
"","","","","","","","","","tax","invoice","account_account_1103010"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_account_1103010"
"tax_iva31_purchase","VAT 31% (Purchases)","IVA 31% (Compras)","IVA 31% (Compras)","IVA 31%","31.0","percent","purchase","tax_group_iva_31","base","invoice",""
"","","","","","","","","","tax","invoice","account_account_1103010"
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund","account_account_1103010"
"tax_exempt_purchase","Exempt (Purchases)","Exento (Compras)","Exento (Compras)","Exento","0.0","percent","purchase","tax_group_exempt","base","invoice",""
"","","","","","","","","","tax","invoice",""
"","","","","","","","","","base","refund",""
"","","","","","","","","","tax","refund",""
